# Hyperlimit Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 243 | 34.777 us | `cargo-fuzz` | `predicate_invariants` | `seed[2285]` |
| 244 | 34.758 us | `cargo-fuzz` | `predicate_invariants` | `seed[947]` |
| 245 | 34.758 us | `cargo-fuzz` | `predicate_invariants` | `seed[981]` |
| 246 | 34.757 us | `cargo-fuzz` | `predicate_invariants` | `seed[1288]` |
| 247 | 34.747 us | `cargo-fuzz` | `predicate_invariants` | `seed[1051]` |
| 248 | 34.747 us | `cargo-fuzz` | `predicate_invariants` | `seed[2146]` |
| 249 | 34.738 us | `cargo-fuzz` | `predicate_invariants` | `seed[1142]` |
| 250 | 34.738 us | `cargo-fuzz` | `predicate_invariants` | `seed[1613]` |
| 251 | 34.728 us | `cargo-fuzz` | `predicate_invariants` | `seed[1017]` |
| 252 | 34.718 us | `cargo-fuzz` | `predicate_invariants` | `seed[2093]` |
| 253 | 34.708 us | `cargo-fuzz` | `predicate_invariants` | `seed[2381]` |
| 254 | 34.707 us | `cargo-fuzz` | `predicate_invariants` | `seed[6206]` |
| 255 | 34.698 us | `cargo-fuzz` | `predicate_invariants` | `seed[982]` |
| 256 | 34.698 us | `cargo-fuzz` | `predicate_invariants` | `seed[2328]` |
| 257 | 34.697 us | `cargo-fuzz` | `predicate_invariants` | `seed[2242]` |
| 258 | 34.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[771]` |
| 259 | 34.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[1010]` |
| 260 | 34.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[1778]` |
| 261 | 34.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[4775]` |
| 262 | 34.687 us | `cargo-fuzz` | `predicate_invariants` | `seed[1962]` |
| 263 | 34.677 us | `cargo-fuzz` | `predicate_invariants` | `seed[762]` |
| 264 | 34.668 us | `cargo-fuzz` | `predicate_invariants` | `seed[1507]` |
| 265 | 34.658 us | `cargo-fuzz` | `predicate_invariants` | `seed[1629]` |
| 266 | 34.658 us | `cargo-fuzz` | `predicate_invariants` | `seed[2008]` |
| 267 | 34.657 us | `cargo-fuzz` | `predicate_invariants` | `seed[732]` |
| 268 | 34.657 us | `cargo-fuzz` | `predicate_invariants` | `seed[744]` |
| 269 | 34.648 us | `cargo-fuzz` | `predicate_invariants` | `seed[1034]` |
| 270 | 34.648 us | `cargo-fuzz` | `predicate_invariants` | `seed[1476]` |
| 271 | 34.647 us | `cargo-fuzz` | `predicate_invariants` | `seed[1458]` |
| 272 | 34.638 us | `cargo-fuzz` | `predicate_invariants` | `seed[1436]` |
| 273 | 34.618 us | `cargo-fuzz` | `predicate_invariants` | `seed[1981]` |
| 274 | 34.618 us | `cargo-fuzz` | `predicate_invariants` | `seed[6188]` |
| 275 | 34.608 us | `cargo-fuzz` | `predicate_invariants` | `seed[823]` |
| 276 | 34.608 us | `cargo-fuzz` | `predicate_invariants` | `seed[2050]` |
| 277 | 34.608 us | `cargo-fuzz` | `predicate_invariants` | `seed[2173]` |
| 278 | 34.607 us | `cargo-fuzz` | `predicate_invariants` | `seed[1521]` |
| 279 | 34.607 us | `cargo-fuzz` | `predicate_invariants` | `seed[5280]` |
| 280 | 34.588 us | `cargo-fuzz` | `predicate_invariants` | `seed[1302]` |
| 281 | 34.588 us | `cargo-fuzz` | `predicate_invariants` | `seed[2057]` |
| 282 | 34.587 us | `cargo-fuzz` | `predicate_invariants` | `seed[1460]` |
| 283 | 34.578 us | `cargo-fuzz` | `predicate_invariants` | `seed[2129]` |
| 284 | 34.578 us | `cargo-fuzz` | `predicate_invariants` | `seed[2198]` |
| 285 | 34.568 us | `cargo-fuzz` | `predicate_invariants` | `seed[1957]` |
| 286 | 34.567 us | `cargo-fuzz` | `predicate_invariants` | `seed[2028]` |
| 287 | 34.558 us | `cargo-fuzz` | `predicate_invariants` | `seed[1684]` |
| 288 | 34.548 us | `cargo-fuzz` | `predicate_invariants` | `seed[2014]` |
| 289 | 34.547 us | `cargo-fuzz` | `predicate_invariants` | `seed[1272]` |
| 290 | 34.547 us | `cargo-fuzz` | `predicate_invariants` | `seed[1482]` |
| 291 | 34.537 us | `cargo-fuzz` | `predicate_invariants` | `seed[9979]` |
| 292 | 34.527 us | `cargo-fuzz` | `predicate_invariants` | `seed[2342]` |
| 293 | 34.518 us | `cargo-fuzz` | `predicate_invariants` | `seed[657]` |
| 294 | 34.518 us | `cargo-fuzz` | `predicate_invariants` | `seed[1765]` |
| 295 | 34.508 us | `cargo-fuzz` | `predicate_invariants` | `seed[7943]` |
| 296 | 34.498 us | `cargo-fuzz` | `predicate_invariants` | `seed[836]` |
| 297 | 34.498 us | `cargo-fuzz` | `predicate_invariants` | `seed[4498]` |
| 298 | 34.498 us | `cargo-fuzz` | `predicate_invariants` | `seed[9978]` |
| 299 | 34.497 us | `cargo-fuzz` | `predicate_invariants` | `seed[844]` |
| 300 | 34.497 us | `cargo-fuzz` | `predicate_invariants` | `seed[851]` |
| 301 | 34.497 us | `cargo-fuzz` | `predicate_invariants` | `seed[1917]` |
| 302 | 34.488 us | `cargo-fuzz` | `predicate_invariants` | `seed[989]` |
| 303 | 34.487 us | `cargo-fuzz` | `predicate_invariants` | `seed[998]` |
| 304 | 34.478 us | `cargo-fuzz` | `predicate_invariants` | `seed[2081]` |
| 305 | 34.477 us | `cargo-fuzz` | `predicate_invariants` | `seed[2117]` |
| 306 | 34.468 us | `cargo-fuzz` | `predicate_invariants` | `seed[1026]` |
| 307 | 34.468 us | `cargo-fuzz` | `predicate_invariants` | `seed[1969]` |
| 308 | 34.458 us | `cargo-fuzz` | `predicate_invariants` | `seed[1145]` |
| 309 | 34.458 us | `cargo-fuzz` | `predicate_invariants` | `seed[2107]` |
| 310 | 34.457 us | `cargo-fuzz` | `predicate_invariants` | `seed[1234]` |
| 311 | 34.457 us | `cargo-fuzz` | `predicate_invariants` | `seed[1457]` |
| 312 | 34.448 us | `cargo-fuzz` | `predicate_invariants` | `seed[1606]` |
| 313 | 34.448 us | `cargo-fuzz` | `predicate_invariants` | `seed[1663]` |
| 314 | 34.447 us | `cargo-fuzz` | `predicate_invariants` | `seed[729]` |
